ph,Å¹µµ,¿°¼Ò·®,³óµµ,ºÎ½Äµµ
7.93,11.9,19,59.8,2.2
8.07,12.9,26.6,59.6,10.3
7.85,11,17,26.3,19.5
7.98,9.3,15.3,27.4,13.2
7.77,6.4,13.1,51.5,7.2
7.87,7.1,11.9,41.9,23.5
8.07,12.9,26.6,59.6,10.3
7.85,11,17,26.3,19.5
7.98,9.3,15.3,27.4,13.2
7.89,7.1,13.5,44.9,8
7.96,9.8,16.5,34.5,12.2
7.87,9.4,15.3,32.4,11.2
7.5,13,17.6,24.9,36.2
7.92,11.4,17.4,37.3,18.9
7.89,7.1,13.5,44.9,8
7.96,9.8,16.5,34.5,12.2
7.87,9.4,15.3,32.4,11.2
7.83,11,13.8,56.9,3.2
7.72,4,11.8,23.9,5.4
7.67,13,24.6,53.9,19.8
7.77,6,12.5,35.5,10.6
7.66,4,10.1,49.3,9.1
7.48,2,7.8,70.9,4
7.57,2,8.5,81.4,3.5
7.71,4,9.8,92,1.7
7.6,7,11.6,81.8,4.3
8.21,21.4,84.7,68.1,18.7
8.2,26.4,127.4,54.7,19.4
8.2,31.3,38.3,76.3,17.8
7.84,13.4,24.9,72.1,2.6
